species_id,family,genus,species,genus_species_subspecies,genus_species,woodspecificgrav,seedmass,height,leafmass,relativegrowthratesaplings,relativegrowthratelarge,robin,lifeform,breeding,repr_no95,bsl_repr95,bas95,stno
paligu,Rubiaceae,Palicourea,guianensis,Palicourea guianensis,Palicourea guianensis,0.32,0.007087,6.2,42.4,0.114,NA,10,shrub,bisex,1005,0.659855,0.663703,1059
pipeae,Piperaceae,Piper,aequale,Piper aequale,Piper aequale,NA,NA,NA,NA,NA,NA,10,shrub,bisex,51,0.021104,0.021183,62
pipeco,Piperaceae,Piper,cordulatum,Piper cordulatum,Piper cordulatum,NA,NA,NA,NA,NA,NA,10,shrub,bisex,337,0.054592,0.059069,785
pipepe,Piperaceae,Piper,perlasense,Piper perlasense,Piper perlasense,NA,NA,NA,NA,NA,NA,10,shrub,bisex,28,0.005054,0.005918,67
psycac,Rubiaceae,Psychotria,acuminata,Psychotria acuminata,Psychotria acuminata,NA,NA,NA,NA,NA,NA,10,shrub,bisex,10,0.001467,0.001703,13
psycch,Rubiaceae,Psychotria,chagrensis,Psychotria chagrensis,Psychotria chagrensis,NA,NA,NA,NA,NA,NA,10,shrub,bisex,9,0.001247,0.001247,14
psycpi,Rubiaceae,Psychotria,cyanococca,Psychotria cyanococca,Psychotria cyanococca,NA,NA,NA,NA,NA,NA,10,shrub,bisex,3,4.00E-04,4.00E-04,4
psycde,Rubiaceae,Psychotria,deflexa,Psychotria deflexa,Psychotria deflexa,NA,NA,NA,NA,NA,NA,10,shrub,bisex,23,0.004178,0.004728,41
psycg1,Rubiaceae,Psychotria,graciliflora,Psychotria graciliflora,Psychotria graciliflora,NA,NA,NA,NA,NA,NA,10,shrub,bisex,52,0.011493,0.011885,59
psycfu,Rubiaceae,Psychotria,hoffmannseggiana,Psychotria hoffmannseggiana,Psychotria hoffmannseggiana,NA,NA,NA,NA,NA,NA,10,shrub,bisex,0,0,0,0
psycho,Rubiaceae,Psychotria,horizontalis,Psychotria horizontalis,Psychotria horizontalis,NA,NA,NA,NA,NA,NA,10,shrub,bisex,4494,1.173905,1.20265,5270
psycli,Rubiaceae,Psychotria,limonensis,Psychotria limonensis,Psychotria limonensis,NA,NA,NA,NA,NA,NA,10,shrub,bisex,15,0.001862,0.002412,34
psycma,Rubiaceae,Psychotria,marginata,Psychotria marginata,Psychotria marginata,NA,NA,NA,NA,NA,NA,10,shrub,bisex,547,0.106288,0.112807,719
psycra,Rubiaceae,Psychotria,racemosa,Psychotria racemosa,Psychotria racemosa,NA,NA,NA,NA,NA,NA,10,shrub,bisex,0,0,0,0
psycg2,Rubiaceae,Psychotria,tenuifolia,Psychotria tenuifolia,Psychotria tenuifolia,NA,NA,NA,NA,NA,NA,10,shrub,bisex,1,0.000314,0.000314,2
