species_id,family,genus,species,genus_species_subspecies,genus_species,woodspecificgrav,seedmass,height,leafmass,relativegrowthratesaplings,relativegrowthratelarge,robin,lifeform,breeding,repr_no95,bsl_repr95,bas95,stno
cordla,Boraginaceae,Cordia,lasiocalyx,Cordia lasiocalyx,Cordia lasiocalyx,NA,0.042325,13.9,60.5,0.049,0.0061,100,understory,bisex,353,5.172898,7.543753,1623
eugene,Myrtaceae,Eugenia,nesiotica,Eugenia nesiotica,Eugenia nesiotica,0.732,0.34089,21.1,53.9,0.02,0.0105,100,understory,bisex,54,2.055566,2.394827,620
guetfo,Rubiaceae,Guettarda,foliacea,Guettarda foliacea,Guettarda foliacea,0.618,NA,10.6,38.5,0.034,0.0046,100,understory,bisex,84,1.737831,2.17261,348
gustsu,Lecythidaceae,Gustavia,superba,Gustavia superba,Gustavia superba,0.612,5.661719,20.6,44.7,NA,0.0059,100,understory,bisex,644,20.456785,21.007708,842
lindla,Achariaceae,Lindackeria,laurina,Lindackeria laurina,Lindackeria laurina,0.693,0.037742,17.3,66.8,NA,0.0031,100,understory,bisex,63,2.473313,2.539188,83
micoar,Melastomataceae,Miconia,argentea,Miconia argentea,Miconia argentea,0.697,NA,20.2,56.5,0.096,0.0266,100,understory,bisex,70,1.788793,2.496945,821
micoel,Melastomataceae,Miconia,elata,Miconia elata,Miconia elata,NA,NA,NA,NA,NA,NA,100,understory,bisex,1,0.024053,0.045204,25
micoho,Melastomataceae,Miconia,hondurensis,Miconia hondurensis,Miconia hondurensis,NA,NA,NA,NA,NA,NA,100,understory,bisex,7,0.1174,0.158804,48
psidfr,Myrtaceae,Psidium,friedrichsthalianum,Psidium friedrichsthalianum,Psidium friedrichsthalianum,NA,NA,NA,NA,NA,NA,100,understory,bisex,4,0.112129,0.143952,54
spacme,Malpighiaceae,Spachea,membranacea,Spachea membranacea,Spachea membranacea,NA,NA,NA,NA,NA,NA,100,understory,bisex,6,0.076932,0.127712,15
theoca,Malvaceae,Theobroma,cacao,Theobroma cacao,Theobroma cacao,NA,NA,NA,NA,NA,NA,100,understory,bisex,11,0.178545,0.227633,20
ingasa,Fabaceae-mimosoideae,Inga,sapindoides,Inga sapindoides,Inga sapindoides,0.612,0.406354,20.7,51.3,0.044,0.0173,160,understory,bisex,25,0.7265,1.797064,337
tocopi,Rubiaceae,Tocoyena,pittieri,Tocoyena pittieri,Tocoyena pittieri,NA,NA,NA,NA,NA,NA,160,understory,bisex,4,0.513496,0.534563,7
alsebl,Rubiaceae,Alseis,blackiana,Alseis blackiana,Alseis blackiana,0.578,4.90E-05,28.6,39.6,0.022,0.012,200,understory,bisex,514,54.205732,67.239026,9033
andiin,Fabaceae-papilionoideae,Andira,inermis,Andira inermis inermis,Andira inermis,0.683,0.469267,20.8,45.2,0.024,0.004,200,understory,bisex,4,0.172341,0.974105,321
eugeoe,Myrtaceae,Eugenia,oerstediana,Eugenia oerstediana,Eugenia oerstediana,0.656,NA,16.7,54.4,0.033,0.0211,200,understory,bisex,43,2.192426,6.129089,2365
eugeco,Myrtaceae,Eugenia,coloradoensis,Eugenia coloradoensis,Eugenia coloradoensis,0.693,0.085297,21.9,84.8,0.028,0.0186,300,understory,bisex,6,0.829066,3.205087,825
ingama,Fabaceae-mimosoideae,Inga,marginata,Inga marginata,Inga marginata,0.486,NA,24.3,52.2,0.063,0.0524,300,understory,bisex,26,2.741727,5.295044,612
ingapu,Fabaceae-mimosoideae,Inga,punctata,Inga punctata,Inga punctata,NA,NA,NA,NA,NA,NA,300,understory,bisex,3,0.287082,0.494711,21
termob,Combretaceae,Terminalia,oblonga,Terminalia oblonga,Terminalia oblonga,0.634,NA,35.4,29.5,NA,0.0177,300,understory,bisex,27,5.864558,6.329386,93
turpoc,Tapisciaceae,Turpinia,occidentalis,Turpinia occidentalis,Turpinia occidentalis,0.407,0.004135,22.6,38.4,NA,0.0213,300,understory,bisex,9,1.02239,2.269368,79
guargu,Meliaceae,Guarea,guidonia,Guarea guidonia,Guarea guidonia,0.56,NA,20.2,56.2,0.033,0.0077,40,midstory,dio,722,15.881312,16.339899,2037
ocotce,Lauraceae,Ocotea,cernua,Ocotea cernua,Ocotea cernua,0.61,0.04176,14.4,61.7,0.04,NA,40,midstory,dio,77,0.853092,0.931887,435
cecrob,Urticaceae,Cecropia,obtusifolia,Cecropia obtusifolia,Cecropia obtusifolia,NA,NA,NA,NA,NA,NA,80,midstory,dio,28,0.788693,0.817081,50
tri2pa,Meliaceae,Trichilia,pallida,Trichilia pallida,Trichilia pallida,0.573,0.054078,16.7,50.9,0.04,0.0126,80,midstory,dio,108,1.96709,2.437263,600
tropra,Moraceae,Trophis,racemosa,Trophis racemosa,Trophis racemosa,0.631,NA,18.4,45.1,0.024,0.0048,80,midstory,dio,44,0.965897,1.185612,335
coccma,Polygonaceae,Coccoloba,manzinellensis,Coccoloba manzinellensis,Coccoloba manzinellensis,0.716,0.01882,9.2,66.3,0.025,NA,100,midstory,dio,12,0.152958,0.585708,512
maquco,Moraceae,Maquira,guianensis,Maquira guianensis costaricana,Maquira guianensis,0.643,NA,15.3,57.2,0.039,0.0036,100,midstory,dio,164,2.134207,4.189106,1531
alchla,Euphorbiaceae,Alchornea,latifolia,Alchornea latifolia,Alchornea latifolia,NA,NA,NA,NA,NA,NA,160,midstory,dio,1,0.023235,0.023368,2
tripcu,Polygonaceae,Triplaris,cumingiana,Triplaris cumingiana,Triplaris cumingiana,0.529,NA,28.1,40.8,NA,0.0116,200,midstory,dio,49,2.724369,4.585908,322
zantse,Rutaceae,Zanthoxylum,setulosum,Zanthoxylum setulosum,Zanthoxylum setulosum,NA,NA,NA,NA,NA,NA,200,midstory,dio,1,0.066052,0.066052,1
virosp,Myristicaceae,Virola,multiflora,Virola multiflora,Virola multiflora,NA,NA,NA,NA,NA,NA,300,midstory,dio,9,1.668153,2.143153,51
zantp1,Rutaceae,Zanthoxylum,panamense,Zanthoxylum panamense,Zanthoxylum panamense,0.552,0.0013,28.2,38.4,0.049,0.0261,300,midstory,dio,15,1.935965,3.736555,189
margno,Phyllanthaceae,Margaritaria,nobilis,Margaritaria nobilis,Margaritaria nobilis,NA,NA,NA,NA,NA,NA,NA,shrub,dio,4,0.03827,0.03827,4
neeaam,Nyctaginaceae,Neea,amplifolia,Neea amplifolia,Neea amplifolia,NA,NA,NA,NA,NA,NA,10,shrub,dio,55,0.010857,0.011486,79
cha1te,Arecaceae,Chamaedorea,tepejilote,Chamaedorea tepejilote,Chamaedorea tepejilote,NA,NA,NA,NA,NA,NA,20,shrub,dio,12,0.00997,0.00997,12
soroaf,Moraceae,Sorocea,affinis,Sorocea affinis,Sorocea affinis,0.646,0.077688,9.4,47.4,0.031,-2.00E-04,30,shrub,dio,1500,3.355728,3.881027,3237
alibed,Rubiaceae,Alibertia,edulis,Alibertia edulis,Alibertia edulis,0.788,0.012025,10.1,60.4,0.026,NA,40,shrub,dio,61,0.161739,0.277997,398
sipapa,Siparunaceae,Siparuna,pauciflora,Siparuna pauciflora,Siparuna pauciflora,0.458,NA,7.7,51.4,0.042,NA,40,shrub,dio,123,0.546032,0.604578,367
ade1tr,Euphorbiaceae,Adelia,triloba,Adelia triloba,Adelia triloba,0.648,NA,13.2,37.6,0.042,0.0066,100,shrub,dio,91,2.422536,2.728639,226
amaico,Rubiaceae,Amaioua,corymbosa,Amaioua corymbosa,Amaioua corymbosa,NA,NA,NA,NA,NA,NA,100,shrub,dio,2,0.028212,0.059638,28
protpa,Burseraceae,Protium,panamense,Protium panamense,Protium panamense,0.447,0.079495,19.2,64.7,0.03,0.0071,80,tree,dio,109,1.207304,3.565981,3129
gar2in,Clusiaceae,Garcinia,intermedia,Garcinia intermedia,Garcinia intermedia,0.654,0.541,15.9,102.2,0.029,0.0103,100,tree,dio,86,1.522578,4.878011,4463
poutst,Sapotaceae,Pouteria,stipitata,Pouteria stipitata,Pouteria stipitata,NA,0.777521,22.4,58.6,NA,0.0111,160,tree,dio,23,1.402116,1.58386,72
protco,Burseraceae,Protium,costaricense,Protium costaricense,Protium costaricense,0.452,NA,16.4,45.9,0.041,0.0106,160,tree,dio,26,0.796368,2.8728,879
drypst,Putranjivaceae,Drypetes,standleyi,Drypetes standleyi,Drypetes standleyi,0.618,0.067596,28.7,80.1,0.027,0.0146,200,tree,dio,76,5.78174,11.585679,2323
protte,Burseraceae,Protium,tenuifolium,Protium tenuifolium,Protium tenuifolium,0.586,0.098637,20.5,59.9,0.037,0.0126,200,tree,dio,174,11.918718,17.735405,3144
virose,Myristicaceae,Virola,sebifera,Virola sebifera,Virola sebifera,0.487,0.111661,30.5,60.1,0.041,0.0138,200,tree,dio,242,13.596164,22.021844,1891
zantpr,Rutaceae,Zanthoxylum,acuminatum,Zanthoxylum acuminatum,Zanthoxylum acuminatum,0.579,NA,23.2,68.6,0.063,0.0218,200,tree,dio,8,0.340901,1.010895,143
ast2gr,Anacardiaceae,Astronium,graveolens,Astronium graveolens,Astronium graveolens,0.808,0.01766,34.8,35.1,NA,0.0101,300,tree,dio,18,3.90472,4.585875,80
brosal,Moraceae,Brosimum,alicastrum,Brosimum alicastrum bolivarense,Brosimum alicastrum,0.672,0.701005,37.4,48.1,0.036,0.0069,300,tree,dio,58,25.1927,29.088567,931
cecrin,Urticaceae,Cecropia,insignis,Cecropia insignis,Cecropia insignis,0.551,NA,30.6,NA,NA,0.025,300,tree,dio,104,13.228564,18.736812,380
guapst,Nyctaginaceae,Guapira,standleyana,Guapira standleyana,Guapira standleyana,0.511,0.061173,32.2,38,NA,0.0144,300,tree,dio,47,9.858055,11.409707,188
guargr,Meliaceae,Guarea,grandifolia,Guarea grandifolia,Guarea grandifolia,NA,NA,NA,NA,NA,NA,300,tree,dio,4,1.491235,1.781881,67
hyeral,Euphorbiaceae,Hieronyma,alchorneoides,Hieronyma alchorneoides,Hieronyma alchorneoides,0.585,0.00096,34.3,35.2,NA,0.0178,300,tree,dio,29,11.030648,11.407161,90
ocotob,Lauraceae,Ocotea,oblonga,Ocotea oblonga,Ocotea oblonga,NA,NA,NA,NA,NA,NA,300,tree,dio,8,0.933248,1.730811,201
ocotwh,Lauraceae,Ocotea,whitei,Ocotea whitei,Ocotea whitei,0.426,NA,32.3,68.3,0.055,0.0247,300,tree,dio,70,19.370727,22.744894,602
poutre,Sapotaceae,Pouteria,reticulata,Pouteria reticulata reticulata,Pouteria reticulata,0.761,NA,32,50.7,0.025,0.0231,300,tree,dio,69,11.630521,16.262747,1894
tet2pa,Burseraceae,Tetragastris,panamensis,Tetragastris panamensis,Tetragastris panamensis,0.589,0.29475,31.3,74.8,0.03,0.0138,300,tree,dio,123,21.227292,30.469331,4422
tratas,Burseraceae,Trattinnickia,aspera,Trattinnickia aspera,Trattinnickia aspera,0.439,0.00637,29,54.6,NA,0.0236,300,tree,dio,17,3.382288,4.100361,68
tri2tu,Meliaceae,Trichilia,tuberculata,Trichilia tuberculata,Trichilia tuberculata,0.692,0.109507,29.3,57.8,0.027,0.0113,300,tree,dio,430,53.447582,99.164447,13293
virosu,Myristicaceae,Virola,surinamensis,Virola surinamensis,Virola surinamensis,0.407,1.580256,37.3,49.5,NA,0.0192,300,tree,dio,86,21.367817,23.850012,226
zantbe,Rutaceae,Zanthoxylum,ekmanii,Zanthoxylum ekmanii,Zanthoxylum ekmanii,0.435,NA,31.1,52.3,NA,0.0464,300,tree,dio,75,11.615737,14.002133,204
stylst,Myrsinaceae,Stylogyne,turbacensis,Stylogyne turbacensis,Stylogyne turbacensis,0.569,0.0359,8.2,97.6,0.024,NA,30,understory,dio,131,0.202882,0.348812,869
xyl2ol,Salicaceae,Xylosma,oligandra,Xylosma oligandra,Xylosma oligandra,NA,NA,8.5,40.2,0.029,NA,30,understory,dio,73,0.147917,0.168323,123
picrla,Picramniaceae,Picramnia,latifolia,Picramnia latifolia,Picramnia latifolia,0.699,0.025705,12.5,58.7,0.026,0.0104,40,understory,dio,263,1.309613,1.612608,1164
olmeas,Moraceae,Trophis,caucana,Trophis caucana,Trophis caucana,0.475,0.02537,12,40.8,0.049,0.0079,40,understory,dio,148,0.808972,0.845279,225
randar,Rubiaceae,Randia,armata,Randia armata,Randia armata,0.643,0.085212,11.3,46.4,0.03,0.0069,50,understory,dio,488,4.838434,5.166063,1137
coccco,Polygonaceae,Coccoloba,coronata,Coccoloba coronata,Coccoloba coronata,NA,NA,NA,NA,NA,NA,80,understory,dio,28,0.560118,0.646175,191
hampap,Malvaceae,Hampea,appendiculata,Hampea appendiculata,Hampea appendiculata,NA,NA,NA,NA,NA,NA,80,understory,dio,14,0.86284,0.866551,24
perexa,Moraceae,Perebea,xanthochyma,Perebea xanthochyma,Perebea xanthochyma,0.623,0.091272,14.1,53.7,0.037,NA,80,understory,dio,31,0.377786,0.616201,269
dio2ar,Ebenaceae,Diospyros,artanthifolia,Diospyros artanthifolia,Diospyros artanthifolia,NA,NA,NA,NA,NA,NA,160,understory,dio,4,0.148692,0.394876,83
alchco,Euphorbiaceae,Alchornea,costaricensis,Alchornea costaricensis,Alchornea costaricensis,0.393,0.019603,19.2,61.2,NA,0.018,200,understory,dio,99,10.166432,11.396299,230
poutfo,Sapotaceae,Pouteria,fossicola,Pouteria fossicola,Pouteria fossicola,NA,NA,NA,NA,NA,NA,300,understory,dio,2,0.428913,0.429404,3
simaam,Simaroubaceae,Simarouba,amara,Simarouba amara,Simarouba amara,0.39,0.11114,30.1,42.7,0.065,0.0293,300,understory,dio,70,10.913642,17.261605,1261
ficubu,Moraceae,Ficus,bullenei,Ficus bullenei,Ficus bullenei,NA,NA,NA,NA,NA,NA,NA,hemiepiphyte,mono,1,0.000154,0.000154,1
ficuci,Moraceae,Ficus,citrifolia,Ficus citrifolia,Ficus citrifolia,NA,NA,NA,NA,NA,NA,NA,hemiepiphyte,mono,3,0.001663,0.001663,3
ficuc1,Moraceae,Ficus,colubrinae,Ficus colubrinae,Ficus colubrinae,NA,NA,NA,NA,NA,NA,NA,hemiepiphyte,mono,1,0.013685,0.013685,1
ficupe,Moraceae,Ficus,pertusa,Ficus pertusa,Ficus pertusa,NA,NA,NA,NA,NA,NA,NA,hemiepiphyte,mono,1,0.000284,0.000284,1
ficutr,Moraceae,Ficus,aurea,Ficus trigonata,Ficus aurea,NA,NA,NA,NA,NA,NA,300,hemiepiphyte,mono,5,5.011659,5.012567,6
ficuc2,Moraceae,Ficus,costaricana,Ficus costaricana,Ficus costaricana,NA,NA,NA,NA,NA,NA,300,hemiepiphyte,mono,7,8.507029,8.508047,8
ficuob,Moraceae,Ficus,obtusifolia,Ficus obtusifolia,Ficus obtusifolia,NA,NA,NA,NA,NA,NA,300,hemiepiphyte,mono,7,3.568204,3.568911,8
ficupo,Moraceae,Ficus,popenoei,Ficus popenoei,Ficus popenoei,NA,NA,NA,NA,NA,NA,300,hemiepiphyte,mono,2,3.91733,3.939445,4
oenoma,Arecaceae,Oenocarpus,mapora,Oenocarpus mapora,Oenocarpus mapora,NA,NA,NA,NA,NA,NA,80,midstory,mono,1395,11.509005,13.115718,1945
socrex,Arecaceae,Socratea,exorrhiza,Socratea exorrhiza,Socratea exorrhiza,NA,NA,NA,NA,NA,NA,80,midstory,mono,418,4.701328,5.457361,673
tri4ga,Malvaceae,Trichospermum,galeottii,Trichospermum galeottii,Trichospermum galeottii,NA,NA,NA,NA,NA,NA,80,midstory,mono,1,0.078924,0.078924,1
tremmi,Cannabaceae,Trema,micrantha,Trema micrantha,Trema micrantha,NA,NA,NA,NA,NA,NA,200,midstory,mono,11,1.254135,1.346435,23
ficuma,Moraceae,Ficus,maxima,Ficus maxima,Ficus maxima,NA,NA,NA,NA,NA,NA,300,midstory,mono,2,0.346282,0.41048,8
acaldi,Euphorbiaceae,Acalypha,diversifolia,Acalypha diversifolia,Acalypha diversifolia,0.501,NA,6.3,41.6,0.061,NA,20,shrub,mono,347,0.483976,0.516697,688
acalma,Euphorbiaceae,Acalypha,macrostachya,Acalypha macrostachya,Acalypha macrostachya,NA,NA,NA,NA,NA,NA,20,shrub,mono,36,0.075814,0.077245,42
brosgu,Moraceae,Brosimum,guianense,Brosimum guianense,Brosimum guianense,NA,NA,NA,NA,NA,NA,300,tree,mono,0,0,0.020293,4
cedrod,Meliaceae,Cedrela,odorata,Cedrela odorata,Cedrela odorata,NA,NA,NA,NA,NA,NA,300,tree,mono,0,0,0.085222,6
huracr,Euphorbiaceae,Hura,crepitans,Hura crepitans,Hura crepitans,NA,NA,35,27.6,NA,0.0123,300,tree,mono,77,62.984329,63.674852,112
poular,Moraceae,Poulsenia,armata,Poulsenia armata,Poulsenia armata,0.315,0.008913,36.2,55.8,0.061,0.0118,300,tree,mono,64,11.064705,28.359363,1793
ficuin,Moraceae,Ficus,insipida,Ficus insipida,Ficus insipida,NA,NA,NA,NA,NA,NA,400,tree,mono,2,1.277518,1.337254,9
ficuyo,Moraceae,Ficus,yoponensis,Ficus yoponensis,Ficus yoponensis,NA,NA,NA,NA,NA,NA,400,tree,mono,6,2.669468,2.669468,6
sterap,Malvaceae,Sterculia,apetala,Sterculia apetala apetala,Sterculia apetala,NA,NA,NA,NA,NA,NA,400,tree,mono,11,5.434099,6.170063,68
bactc1,Arecaceae,Bactris,coloniata,Bactris coloniata,Bactris coloniata,NA,NA,NA,NA,NA,NA,20,understory,mono,8,0.013343,0.013343,39
bactc2,Arecaceae,Bactris,coloradonis,Bactris coloradonis,Bactris coloradonis,NA,NA,NA,NA,NA,NA,20,understory,mono,2,0.003041,0.003041,9
bactma,Arecaceae,Bactris,major,Bactris major major,Bactris major,NA,NA,NA,NA,NA,NA,20,understory,mono,174,0.216669,0.217297,197
crotbi,Euphorbiaceae,Croton,billbergianus,Croton billbergianus billbergianus,Croton billbergianus,0.478,NA,20.5,35,0.117,0.0325,50,understory,mono,248,2.184801,2.382859,569
ast1st,Arecaceae,Astrocaryum,standleyanum,Astrocaryum standleyanum,Astrocaryum standleyanum,NA,NA,NA,NA,NA,NA,80,understory,mono,204,2.972007,2.976909,205
ficuto,Moraceae,Ficus,tonduzii,Ficus tonduzii,Ficus tonduzii,0.357,NA,11.2,76.3,NA,0.0029,200,understory,mono,8,0.436168,0.718305,34
sch2mo,Araliaceae,Schefflera,morototoni,Schefflera morototoni,Schefflera morototoni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sapiau,Euphorbiaceae,Sapium,glandulosum,Sapium glandulosum,Sapium glandulosum,NA,NA,NA,NA,NA,NA,300,midstory,NA,8,2.213035,2.445277,34
byrssp,Malpighiaceae,Byrsonima,spicata,Byrsonima spicata,Byrsonima spicata,NA,NA,NA,NA,NA,NA,NA,midstory,NA,NA,NA,NA,NA
cecrlo,Urticaceae,Cecropia,longipes,Cecropia longipes,Cecropia longipes,NA,NA,NA,NA,NA,NA,NA,midstory,NA,1,0.020867,0.020867,1
cecrpe,Urticaceae,Cecropia,peltata,Cecropia peltata,Cecropia peltata,NA,NA,NA,NA,NA,NA,NA,midstory,NA,NA,NA,NA,NA
ficuny,Moraceae,Ficus,nymphaeifolia,Ficus nymphaeifolia,Ficus nymphaeifolia,NA,NA,NA,NA,NA,NA,NA,midstory,NA,NA,NA,NA,NA
guatam,Annonaceae,Guatteria,amplifolia,Guatteria amplifolia,Guatteria amplifolia,NA,NA,NA,NA,NA,NA,NA,midstory,NA,NA,NA,NA,NA
jac1ca,Bignoniaceae,Jacaranda,caucana,Jacaranda caucana sandwithiana,Jacaranda caucana,NA,NA,NA,NA,NA,NA,NA,midstory,NA,NA,NA,NA,NA
pse2sp,Moraceae,Pseudolmedia,spuria,Pseudolmedia spuria,Pseudolmedia spuria,NA,NA,NA,NA,NA,NA,NA,midstory,NA,NA,NA,NA,NA
rauvli,Apocynaceae,Rauvolfia,littoralis,Rauvolfia littoralis,Rauvolfia littoralis,NA,NA,NA,NA,NA,NA,NA,midstory,NA,0,0,0,0
tri2pl,Meliaceae,Trichilia,pleeana,Trichilia pleeana,Trichilia pleeana,NA,NA,NA,NA,NA,NA,NA,midstory,NA,NA,NA,NA,NA
viroel,Myristicaceae,Virola,elongata,Virola elongata,Virola elongata,NA,NA,NA,NA,NA,NA,NA,midstory,NA,NA,NA,NA,NA
ingaru,Fabaceae-mimosoideae,Inga,ruiziana,Inga ruiziana,Inga ruiziana,NA,NA,NA,NA,NA,NA,300,NA,NA,0,0,0,0
pit1ba,Fabaceae-mimosoideae,Abarema,barbouriana,Abarema barbouriana,Abarema barbouriana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
abarid,Fabaceae-mimosoideae,Abarema,idiopoda,Abarema idiopoda,Abarema idiopoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
acacco,Fabaceae-mimosoideae,Acacia,collinsii,Acacia collinsii,Acacia collinsii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
acacma,Fabaceae-mimosoideae,Acacia,mangium,Acacia mangium,Acacia mangium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
acacme,Fabaceae-mimosoideae,Acacia,melanoceras,Acacia melanoceras,Acacia melanoceras,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
acacri,Fabaceae-mimosoideae,Acacia,riparia,Acacia riparia,Acacia riparia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
acac1,Fabaceae-mimosoideae,Acacia,sp.1,Acacia sp.1,Acacia sp.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
acante,Cactaceae,Acanthocereus,tetragonus,Acanthocereus tetragonus,Acanthocereus tetragonus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
acidni,Euphorbiaceae,Acidoton,nicaraguensis,Acidoton nicaraguensis,Acidoton nicaraguensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
acospa,Fabaceae-papilionoideae,Acosmium,panamense,Acosmium panamense,Acosmium panamense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
acropa,Arecaceae,Acrocomia,aculeata,Acrocomia aculeata,Acrocomia aculeata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
adenfl,Lythraceae,Adenaria,floribunda,Adenaria floribunda,Adenaria floribunda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aegian,Lamiaceae,Aegiphila,anomala,Aegiphila anomala,Aegiphila anomala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
agonbr,Opiliaceae,Agonandra,brasiliensis,Agonandra brasiliensis,Agonandra brasiliensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aiouve,Lauraceae,Aiouea,vexatrix,Aiouea vexatrix,Aiouea vexatrix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aiphhi,Arecaceae,Aiphanes,hirsuta,Aiphanes hirsuta,Aiphanes hirsuta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
albiad,Fabaceae-mimosoideae,Albizia,adinocephala,Albizia adinocephala,Albizia adinocephala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
albini,Fabaceae-mimosoideae,Albizia,niopoides,Albizia niopoides,Albizia niopoides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
albipr,Fabaceae-mimosoideae,Albizia,procera,Albizia procera,Albizia procera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alchgr,Euphorbiaceae,Alchornea,grandis,Alchornea grandis,Alchornea grandis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alch3,Euphorbiaceae,Alchornea,sp.3,Alchornea sp.3,Alchornea sp.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alch4,Euphorbiaceae,Alchornea,sp.4,Alchornea sp.4,Alchornea sp.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alch5,Euphorbiaceae,Alchornea,sp.5,Alchornea sp.5,Alchornea sp.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alibga,Rubiaceae,Alibertia,garapatica,Alibertia garapatica,Alibertia garapatica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alleer,Rubiaceae,Allenanthus,erythrocarpus,Allenanthus erythrocarpus,Allenanthus erythrocarpus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alloge,Sapindaceae,Allophylus,gentryi,Allophylus gentryi,Allophylus gentryi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
allooc,Sapindaceae,Allophylus,racemosus,Allophylus racemosus,Allophylus racemosus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
allo2,Sapindaceae,Allophylus,sp.2,Allophylus sp.2,Allophylus sp.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
amaima,Rubiaceae,Amaioua,magnicarpa,Amaioua magnicarpa,Amaioua magnicarpa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
amaipe,Rubiaceae,Amaioua,pedicellata,Amaioua pedicellata,Amaioua pedicellata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
amai1,Rubiaceae,Amaioua,sp.1,Amaioua sp.1,Amaioua sp.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
amai2,Rubiaceae,Amaioua,sp.2,Amaioua sp.2,Amaioua sp.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
amangu,Phyllanthaceae,Amanoa,guianensis,Amanoa guianensis,Amanoa guianensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ampeed,Ulmaceae,Ampelocera,edentula,Ampelocera edentula,Ampelocera edentula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ampema,Ulmaceae,Ampelocera,macphersonii,Ampelocera macphersonii,Ampelocera macphersonii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
amp1is,Bignoniaceae,Amphitecna,isthmica,Amphitecna isthmica,Amphitecna isthmica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
amp1la,Bignoniaceae,Amphitecna,latifolia,Amphitecna latifolia,Amphitecna latifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
amp1sp,Bignoniaceae,Amphitecna,spathicalyx,Amphitecna spathicalyx,Amphitecna spathicalyx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anacoc,Anacardiaceae,Anacardium,occidentale,Anacardium occidentale,Anacardium occidentale,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anaxal,Annonaceae,Anaxagorea,allenii,Anaxagorea allenii,Anaxagorea allenii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anaxcr,Annonaceae,Anaxagorea,crassipetala,Anaxagorea crassipetala,Anaxagorea crassipetala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anibho,Lauraceae,Aniba,hostmanniana,Aniba hostmanniana,Aniba hostmanniana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anib1,Lauraceae,Aniba,sp.1,Aniba sp.1,Aniba sp.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
