"","censussize","censusyear","simulation_nr","Dt","D_species_richness","D_simpson","N_runs","H_simpson"
"1",83648,1985,1,1,253,0.805505031850511,1,5.14152118954254
"2",83648,1985,2,1,249,0.805565442948291,1,5.14311866760422
"3",83648,1985,3,1,252,0.806120076709901,1,5.1578316260406
"4",83648,1985,4,1,251,0.806791521572615,1,5.17575630292972
"5",83648,1985,5,1,252,0.805183826728526,1,5.13304405485121
"6",83648,1985,6,1,253,0.806469019915916,1,5.16713137899434
"7",83648,1985,7,1,253,0.805999563867539,1,5.15462758711125
"8",83648,1985,8,1,250,0.806738455296989,1,5.17433512981964
"9",83648,1985,9,1,251,0.806199670937461,1,5.15994995899775
"10",83648,1985,10,1,253,0.8061089638601,1,5.15753600531826
"11",83648,1985,11,1,248,0.805267424208609,1,5.13524763864499
"12",83648,1985,12,1,251,0.806107433470202,1,5.15749529699643
"13",83648,1985,13,1,250,0.805095472051557,1,5.13071712866786
"14",83648,1985,14,1,250,0.805314709389772,1,5.13649488806046
"15",83648,1985,15,1,251,0.806147910714493,1,5.15857220670545
"16",83648,1985,16,1,250,0.80528779980961,1,5.13578501512591
"17",83648,1985,17,1,252,0.80578911891095,1,5.14904208452398
"18",83648,1985,18,1,251,0.806689651663942,1,5.17302880372221
"19",83648,1985,19,1,251,0.805725377633921,1,5.14735268982102
"20",83648,1985,20,1,252,0.804689651876442,1,5.12005641077131
"21",83648,1985,21,1,250,0.804998815048255,1,5.12817396595544
"22",83648,1985,22,1,251,0.806439922430778,1,5.16635461484754
"23",83648,1985,23,1,251,0.806393108456988,1,5.16510539490709
"24",83648,1985,24,1,252,0.805842113192733,1,5.15044748603316
"25",83648,1985,25,1,250,0.805293175906628,1,5.13592682052299
"26",83648,1985,26,1,251,0.805058345228446,1,5.12973997872271
"27",83648,1985,27,1,250,0.805095208772553,1,5.13071019805274
"28",83648,1985,28,1,253,0.805528759742139,1,5.14214851858836
"29",83648,1985,29,1,250,0.806265176355925,1,5.16169463594824
"30",83648,1985,30,1,251,0.806601538174519,1,5.17067194103323
"31",83648,1985,31,1,249,0.804619836353185,1,5.11822685238243
"32",83648,1985,32,1,251,0.806361380273557,1,5.1642590791688
"33",83648,1985,33,1,250,0.805588004815723,1,5.14371553592735
"34",83648,1985,34,1,247,0.805808100217271,1,5.14954537814835
"35",83648,1985,35,1,248,0.804376353419135,1,5.11185645231611
"36",83648,1985,36,1,250,0.805347072800464,1,5.13734889265196
"37",83648,1985,37,1,250,0.805642182838891,1,5.14514936731909
"38",83648,1985,38,1,251,0.804948181246782,1,5.12684273539235
"39",83648,1985,39,1,251,0.80604875342752,1,5.15593489432045
"40",83648,1985,40,1,249,0.80551221727936,1,5.14171114509742
"41",83648,1985,41,1,253,0.805894294494109,1,5.15183207723717
"42",83648,1985,42,1,250,0.807152474214944,1,5.18544376407805
"43",83648,1985,43,1,250,0.80600641471405,1,5.15480962180261
"44",83648,1985,44,1,250,0.806215367073782,1,5.16036790378906
"45",83648,1985,45,1,251,0.805127305758269,1,5.13155526427701
"46",83648,1985,46,1,248,0.806365492550475,1,5.16436875416265
"47",83648,1985,47,1,253,0.805883517730875,1,5.15154606301586
"48",83648,1985,48,1,251,0.805460366087512,1,5.14034071046849
"49",83648,1985,49,1,253,0.806433013695496,1,5.16617021885582
"50",83648,1985,50,1,251,0.805641194379152,1,5.14512320039044
"51",83648,1985,51,1,252,0.805609721945955,1,5.14429018781472
"52",83648,1985,52,1,251,0.805464795555593,1,5.1404577534231
"53",83648,1985,53,1,252,0.806350544143346,1,5.16397010038714
"54",83648,1985,54,1,253,0.805223664817782,1,5.13409392914428
"55",83648,1985,55,1,250,0.806221705563194,1,5.1605366994605
"56",83648,1985,56,1,250,0.80716718958496,1,5.18583947331199
"57",83648,1985,57,1,250,0.806093441309148,1,5.15712313575898
"58",83648,1985,58,1,250,0.807124153141365,1,5.18468235544772
"59",83648,1985,59,1,253,0.806560080130487,1,5.16956376261199
"60",83648,1985,60,1,249,0.806030288298053,1,5.15544407024017
"61",83648,1985,61,1,248,0.805400347745224,1,5.13875532876477
"62",83648,1985,62,1,252,0.805644122459931,1,5.14520071456978
"63",83648,1985,63,1,250,0.807278355730274,1,5.18883078125068
"64",83648,1985,64,1,249,0.804877151976893,1,5.12497644500133
"65",83648,1985,65,1,252,0.804795072199849,1,5.1228214946694
"66",83648,1985,66,1,251,0.804802279363729,1,5.1230106414172
"67",83648,1985,67,1,252,0.805337163357406,1,5.13708737243991
"68",83648,1985,68,1,250,0.805413369844739,1,5.1390992238372
"69",83648,1985,69,1,249,0.806460003341524,1,5.16689065446568
"70",83648,1985,70,1,252,0.805626272477975,1,5.14472821377923
"71",83648,1985,71,1,250,0.806374067191242,1,5.16459745600135
"72",83648,1985,72,1,252,0.8066147010794,1,5.17102388641539
"73",83648,1985,73,1,249,0.806642088540667,1,5.17175631683589
"74",83648,1985,74,1,249,0.804516234113429,1,5.11551430096884
"75",83648,1985,75,1,250,0.806820201682206,1,5.17652471277008
"76",83648,1985,76,1,253,0.805018136102512,1,5.12868212463982
