"beta","prob"
-0.292243736467288,0.947652542416035
-0.628026232743436,0.973629514070469
-0.0974767684744847,0.867302034324055
-0.342962276667007,0.944045348266011
-0.444482134792268,0.976689170707695
-0.583944771796653,0.944345281017895
-0.938449405287167,0.963490988381314
-0.791392669797703,0.977048175467088
-0.35210305047479,0.909009614542435
-0.745183759973003,0.990679733798062
-0.926431282978569,0.985538413279129
-0.961604751117681,0.996931286813095
-0.734802411849726,0.961652177764874
-0.228069908079164,0.961404614789477
-0.477956049255301,0.932332600965098
-0.25751293851025,0.851539640259298
-0.650634163388159,0.956043490775747
-0.46435682617566,0.966564499414853
-0.454972834712341,0.983062402019569
-0.643768301359248,0.976625752413294
-0.39840850368501,0.985231929118698
-0.673490745327155,0.991900437743668
-0.535094894615114,0.976555675868004
-0.799513996305544,0.987851978111538
-0.2657831393936,0.955677433763692
-0.294514854926725,0.972681862983509
-0.610434053818719,0.983827118660281
-0.48791952417794,0.974292409593815
-0.938227105156819,0.995516858746459
-0.512829969474935,0.951543152900277
-0.665258657884225,0.983523308010137
-0.299753143597529,0.885985243174779
-0.729562479042121,0.992908582696131
-0.819622649003792,0.982294614480113
-0.827562288836775,0.971767797574763
-0.772848050770629,0.982574253846862
-0.802774191536704,0.987111463307461
-0.35722313768942,0.912948913017776
-0.437664516863298,0.963640583756704
-0.354903396841665,0.967109319661586
-0.832489855703325,0.962513678220635
-0.668666438181038,0.981964135695977
-0.809144656792721,0.960978345751643
-0.776029765872136,0.968696565222339
-0.607597552717477,0.981412875083685
-0.419364577877836,0.954934103011298
-0.655185469305201,0.997392990142198
-0.668411202413886,0.963727633535576
-0.678281529216745,0.948165757599236
-0.903078397438538,0.967285135220913
-0.744573763397376,0.975101910425217
-0.908447276712698,0.955424833156503
0.00718853656103469,0.937106577094427
-0.0688137454131059,0.8978123344342
-0.0127995418613539,0.957002353536517
-0.390316925083848,0.894601547079414
-0.776042489710766,0.99444089331456
-0.759554703559066,0.991571856015233
-0.36626794534722,0.957384592430863
-0.25259508794243,0.877827173384187
-0.571484975467131,0.971175669986821
-0.526757354137282,0.925047107621737
