"","name","beta","p_survive_annual"
"106","Herrania purpurea",-0.831484192913476,0.982244974993782
"107","Hieronyma alchorneoides",-0.949788663819082,0.989102172697111
"108","Hirtella americana",-0.631992329030624,0.944163124458244
"109","Hirtella triandra",-0.759595423471211,0.987710104488021
"110","Hura crepitans",-0.962325070963578,0.993923880000063
"111","Hybanthus prunifolius",-0.805989007312681,0.965861053385455
"112","Inga acuminata",-0.236978403133739,0.962052408891424
"113","Inga goldmanii",-0.530836466039734,0.932876153939366
"114","Inga marginata",-0.0690715031991268,0.905043319640424
"115","Inga nobilis quaternata",-0.512296468877112,0.972864066787645
"116","Inga oerstediana",-0.501856159005844,0.930745592984025
"117","Inga pezizifera",-0.511325630285843,0.836073550298613
"118","Inga punctata",-0.447849421860679,0.924980699706464
"119","Inga ruiziana",-0.804844534789657,0.960221934522565
"120","Inga sapindoides",-0.389083947570537,0.954473438238793
"121","Inga spectabilis",-0.682067486088087,0.96535839148375
"122","Inga umbellifera",-0.352015976619419,0.941366424510363
"123","Jacaranda copaia spectabilis",-0.774955325002981,0.984830794695645
"124","Koanophyllon wetmorei",-0.654606695906952,0.901508839123563
"125","Lacistema aggregatum",-0.65550283521416,0.964661025854251
"126","Lacmellea panamensis",-0.574677397313223,0.98973518985625
"127","Laetia procera",-0.559596947359824,0.974180282697152
"128","Laetia thamnia",-0.562362014373131,0.964749279024832
"129","Lafoensia punicifolia",-0.540684883058642,0.947492136733195
"130","Licania hypoleuca",-0.799543616242861,0.971842349152501
"131","Licania platypus",-0.787623356752566,0.969157096032023
"132","Lindackeria laurina",-0.970591048318994,0.970525723084145
"133","Lonchocarpus heptaphyllus",-0.811655562114045,0.953545029386613
"134","Luehea seemannii",-0.962962096463237,0.987634330648209
"135","Macrocnemum roseum",-0.8632296847093,0.98899652294861
"136","Malpighia romeroana",-0.67443396721338,0.956894857069444
"137","Maquira guianensis costaricana",-0.744820200712163,0.962895480924983
"138","Marila laxiflora",-0.92617052953444,0.977857606981757
"139","Maytenus schippii",-0.87902303623447,0.986137926178193
"140","Miconia affinis",-0.22568168830534,0.923373441747369
"141","Miconia argentea",-0.362079890845393,0.935417644370005
"142","Miconia elata",-0.673407172165865,0.949594549183889
"143","Miconia hondurensis",-0.586398705059984,0.9673583604435
"144","Miconia impetiolaris",-0.640343967125073,0.970213187879341
"145","Miconia nervosa",0.195023864556523,0.854615175049051
"146","Mosannona garwoodii",-0.774433102369644,0.991032420464549
"147","Mouriri myrtilloides parvifolia",-0.557069877702013,0.963291177841697
"148","Myrcia gatunensis",-0.435272930380875,0.953409049400755
"149","Nectandra cissiflora",-0.568490007426034,0.921715842942269
"150","Nectandra lineata",-0.465532866341668,0.952817303637676
"151","Nectandra purpurea",-0.32378953894761,0.911462911149294
"152","Neea amplifolia",-0.606460431051496,0.950303764480492
"153","Ochroma pyramidale",-0.317259524729671,0.936657203436323
"154","Ocotea cernua",-0.655164125769224,0.96911546478419
"155","Ocotea oblonga",-0.359479212417013,0.935399158795264
"156","Ocotea puberula",-0.498268472044492,0.975148317753702
"157","Ocotea whitei",-0.698776882979947,0.974719494002086
"158","Oenocarpus mapora",-0.886874276849324,0.988651484546588
"159","Ormosia macrocalyx",-0.91012724869133,0.982873039479253
"160","Ouratea lucens",-0.758925676886639,0.975867961432758
"161","Pachira quinata",-0.501807278614088,0.930370262652611
"162","Pachira sessilis",-0.791024486376858,0.979386922376805
"163","Palicourea guianensis",0.89479701229379,0.775626482793362
"164","Pentagonia macrophylla",-0.828956045977122,0.967517586047884
"165","Perebea xanthochyma",-0.630643021659501,0.988294663909831
"166","Picramnia latifolia",-0.787781932180369,0.96845446790069
"167","Piper aequale",-0.787499709053792,0.878727014150474
"168","Piper arboreum",-0.646982868954608,0.922042991375823
