"","censusyear","simulation_nr","D_species_richness","D_simpson","N_runs","H_simpson"
"1",1985,1,249,0.805470345387667,1,5.14060440806747
"2",1985,2,250,0.80447970829599,1,5.114558654167
"3",1985,3,245,0.805922262587256,1,5.15257449582333
"4",1985,4,251,0.80514464919334,1,5.13201200716435
"5",1985,5,248,0.806719022704741,1,5.17381489887846
"6",1985,6,251,0.8060507480743,1,5.15598791988684
"7",1985,7,248,0.8064834948689,1,5.16751787824268
"8",1985,8,252,0.806183466490927,1,5.1595185503263
"9",1985,9,250,0.80545947081984,1,5.1403170548278
"10",1985,10,249,0.805722466866871,1,5.14727556950575
"11",1985,11,251,0.804491185661932,1,5.11485890488205
"12",1985,12,251,0.806159575557841,1,5.15888263698263
"13",1985,13,248,0.805166692142232,1,5.13259263005492
"14",1985,14,249,0.805655188739074,1,5.14549368985935
"15",1985,15,247,0.806262600662198,1,5.16162601241689
"16",1985,16,250,0.805509962971887,1,5.14165154822535
"17",1985,17,248,0.806037672477914,1,5.15564033890103
"18",1985,18,250,0.805976554997042,1,5.15401630965142
"19",1985,19,250,0.805848600835466,1,5.15061959019181
"20",1985,20,251,0.806952049216518,1,5.18006016609613
"21",1985,21,251,0.80467932881441,1,5.11978580623358
"22",1985,22,250,0.805745807048193,1,5.14789402897517
"23",1985,23,250,0.80451460848786,1,5.11547176116174
"24",1985,24,249,0.805718204096956,1,5.14716263225736
"25",1985,25,250,0.80510234953481,1,5.13089817970178
"26",1985,26,251,0.805599767826548,1,5.14402677825898
"27",1985,27,249,0.80590908467078,1,5.15222465875739
"28",1985,28,248,0.806224044559936,1,5.1605989903598
"29",1985,29,250,0.805561312501213,1,5.14300941270362
"30",1985,30,250,0.805484442304682,1,5.14097695756739
"31",1985,31,248,0.805430305659675,1,5.13954654341434
"32",1985,32,246,0.807052881421983,1,5.1827672129535
"33",1985,33,250,0.805979540039192,1,5.15409560518514
"34",1985,34,248,0.806412149565112,1,5.16561342952844
"35",1985,35,250,0.806032580471744,1,5.15550499373596
"36",1985,36,250,0.805514024115395,1,5.14175891321509
"37",1985,37,249,0.804975659126195,1,5.12756507992546
"38",1985,38,249,0.806047500132947,1,5.15590157737313
"39",1985,39,249,0.805512154881963,1,5.1417094954859
"40",1985,40,247,0.805779663649853,1,5.14879141284756
"41",1985,41,248,0.806644202908497,1,5.1718128705847
"42",1985,42,250,0.805635245410151,1,5.1449657223616
"43",1985,43,251,0.806087509784134,1,5.15696538622544
"44",1985,44,249,0.806772125466804,1,5.17523676341118
"45",1985,45,252,0.806803874158169,1,5.17608723074861
"46",1985,46,250,0.805444556691533,1,5.13992301112082
"47",1985,47,248,0.805801514668652,1,5.14937074969336
