"","species","censusyear","est","LCI","UCI"
"1","Celtis schippii",1985,0.000125561760964201,9.40601054315387e-05,0.000183177287527067
"2","Celtis schippii",1990,0.00017036411161884,9.575499468442e-05,0.000223662595528154
"3","Celtis schippii",1995,0.000196536345583086,0.000109614724973004,0.000300695883229678
"4","Celtis schippii",2000,0.000235125489193001,0.000123852543217766,0.000359215693331743
"5","Celtis schippii",2005,0.000273811896875998,0.000109546062768375,0.000463592524282519
"6","Celtis schippii",2010,0.000319544470588347,0.000133086241333722,0.000573200030519544
"7","Celtis schippii",2015,0.000375962693131855,0.000133438428580241,0.00073020177225931
"8","Celtis schippii",2019,0.000444639406871979,0.000154993676418917,0.000876369322194845
"9","Celtis schippii",2023,0.000528857418237879,0.000178155777530712,0.00101541553119599
"10","Celtis schippii",2027,0.000589156930952753,0.000203092947522931,0.00112410750173382
"11","Celtis schippii",2032,0.000691619853927107,0.000246707691337603,0.00137169189828673
"12","Celtis schippii",2036,0.000784630904126914,0.000252198113875324,0.00165262656214927
"13","Celtis schippii",2040,0.00090391027768343,0.000276910961767361,0.00188046765393324
"14","Celtis schippii",2044,0.00104336280061972,0.000336933008191785,0.00210528166007806
"15","Celtis schippii",2048,0.00115109965957339,0.000379272539289132,0.00238346104391985
"16","Celtis schippii",2052,0.00132188785904115,0.000409487266107415,0.00270728597888052
"17","Celtis schippii",2056,0.00150923562512358,0.000444108756130399,0.00306066418702286
"18","Celtis schippii",2060,0.00163421531408794,0.000498806410136228,0.00352828449622574
"19","Celtis schippii",2064,0.00180931329859941,0.000558319720964493,0.00392835613835033
"20","Celtis schippii",2069,0.00196145098228732,0.000629540878431041,0.0044039500260613
"21","Celtis schippii",2073,0.00216578758017523,0.000664476003831805,0.00482926796392139
"22","Celtis schippii",2077,0.00243080969178957,0.000734203484179938,0.00541072780887485
"23","Celtis schippii",2081,0.00274514963727111,0.000802532912490725,0.00601306857322182
"24","Celtis schippii",2085,0.00287064468893899,0.00082804102052001,0.00661315457678228
"25","Celtis schippii",2089,0.00315350178919716,0.000846833908943751,0.0073765253764057
"26","Celtis schippii",2093,0.00347332082550917,0.000963723299735793,0.00802448766332721
"27","Celtis schippii",2098,0.00380542823538808,0.00104709896160245,0.00856908928948835
"28","Celtis schippii",2102,0.00414622809128051,0.00113120479243972,0.00935998462807844
"29","Celtis schippii",2106,0.00454079842872071,0.00119585078380101,0.0100587048070328
"30","Celtis schippii",2110,0.00481456327564598,0.00127123139824239,0.0108434468629932
"31","Celtis schippii",2114,0.00512228476027203,0.001359365757261,0.0115921421788577
"32","Celtis schippii",2118,0.00565087995813471,0.00145574018256584,0.0126455220656714
"33","Celtis schippii",2122,0.00602047091159049,0.00153027258467104,0.0134215487610937
"34","Celtis schippii",2126,0.00638206259601432,0.00158014698644971,0.0143876039604785
"35","Celtis schippii",2130,0.00687941019916253,0.00164715068988289,0.0153599103006864
"36","Celtis schippii",2135,0.00735680674624843,0.00179857935711797,0.0165455200761578
"37","Celtis schippii",2139,0.00771073107164478,0.00188509764319638,0.0175972563831293
"38","Celtis schippii",2143,0.00813691623684015,0.00197250141006047,0.0184692827321944
"39","Celtis schippii",2147,0.0086055982944905,0.00209193481106293,0.0198327683767277
"40","Celtis schippii",2151,0.00927432362972321,0.00218930644814784,0.020930980797355
"41","Celtis schippii",2155,0.00976251559712613,0.00233544046817131,0.0217540999336081
"42","Celtis schippii",2159,0.0101834482737119,0.0025300587937052,0.0228518291430448
"43","Celtis schippii",2164,0.0105324606205801,0.00278382697878892,0.0239597674756326
"44","Celtis schippii",2168,0.0110059953087781,0.00285820288831736,0.0250364492835549
"45","Celtis schippii",2172,0.0115794364498199,0.00303541550534608,0.0257510754234968
"46","Celtis schippii",2176,0.0121067192212002,0.00313546558660843,0.027057244096152
"47","Celtis schippii",2180,0.0123547399623573,0.00329143357825368,0.0282104178135002
"48","Celtis schippii",2184,0.0129258970900335,0.00342412807793213,0.029322686961201
"49","Celtis schippii",2188,0.0133221954426613,0.00345199464770787,0.0301098190589826
"50","Celtis schippii",2192,0.0139903690701176,0.00357516547100502,0.0311388422726875
"51","Celtis schippii",2196,0.0145177484947722,0.00370212851841593,0.0320626182007037
"52","Celtis schippii",2201,0.014967677582262,0.00377466113737713,0.032902314266495
"53","Celtis schippii",2205,0.0152246635525787,0.00391176088513423,0.0339305247019466
"54","Celtis schippii",2209,0.0156403621545578,0.00400843776796865,0.0349189909627586
"55","Celtis schippii",2213,0.0160631451052206,0.00419681626427618,0.0360169891910644
"56","Celtis schippii",2217,0.0163959506555401,0.00430148716617262,0.0370596589325715
"57","Celtis schippii",2221,0.0168731297164606,0.00448196639336276,0.0378407006925121
"58","Celtis schippii",2225,0.0174777020896613,0.00459735182091288,0.0387620846183476
"59","Celtis schippii",2230,0.0179243250463759,0.00482616828702766,0.0396437815637365
"60","Celtis schippii",2234,0.0184304991491298,0.00489381700708079,0.0406403132604739
"61","Celtis schippii",2238,0.0187690268268343,0.00493245147388596,0.0413934988683722
"62","Celtis schippii",2242,0.0191774186620103,0.00497646964099635,0.0422182278274405
"63","Celtis schippii",2246,0.0195171326797101,0.00501608309121864,0.0429463712895538
"64","Celtis schippii",2250,0.0197869820157004,0.00516788657245829,0.044090339490116
"65","Celtis schippii",2254,0.0203424504881075,0.00542062654374991,0.0444578534360169
"66","Celtis schippii",2258,0.020781418237581,0.00560396069850936,0.0447679687590208
"67","Celtis schippii",2262,0.0209975580255531,0.00561571260577036,0.0455619703036915
"68","Celtis schippii",2267,0.0213088664694974,0.00567667149827703,0.0462643887315159
"69","Celtis schippii",2271,0.0215298243204205,0.00575457745743066,0.0467244481803065
"70","Celtis schippii",2275,0.0220339018053073,0.00586123737039569,0.0472834414836826
"71","Celtis schippii",2279,0.022230323319013,0.00605708819921684,0.0476812285388514
"72","Celtis schippii",2283,0.0224256436404175,0.00616099633896725,0.0482895333265772
"73","Celtis schippii",2287,0.0225080500752595,0.00609511376886031,0.0483030217719862
"74","Celtis schippii",2291,0.0226126445754955,0.0061958252682789,0.048434429747966
"75","Celtis schippii",2296,0.0227901507888573,0.00615395272230066,0.0485174747302995
"76","Celtis schippii",2300,0.0231358711253329,0.00631056261719794,0.0484750237575245
"77","Celtis schippii",2304,0.0235131107245999,0.00616451279524378,0.0483567389979823
"78","Celtis schippii",2308,0.0235289729471405,0.00621565534314121,0.0483559242775412
"79","Celtis schippii",2312,0.0235368657951191,0.00617843942530322,0.0483851687149239
"80","Celtis schippii",2316,0.0236464845553982,0.00601819493837835,0.0484961561547943
"81","Celtis schippii",2320,0.0235172656213094,0.00607912587019437,0.0485278653942885
"82","Celtis schippii",2324,0.0233225052266964,0.00608643826013052,0.0490226100346203
"83","Celtis schippii",2328,0.0234031145853031,0.00619322649517128,0.0492105673750599
"84","Celtis schippii",2333,0.0232114724766605,0.00629933503583671,0.0489694844816424
"85","Celtis schippii",2337,0.0229102196491658,0.00619398688167928,0.0490109019493698
"86","Celtis schippii",2341,0.0228591866388991,0.00613606046306108,0.0490937232125874
"87","Celtis schippii",2345,0.0227880542380467,0.00608857783320588,0.0490218598006814
"88","Celtis schippii",2349,0.0228448784610406,0.00602145905439302,0.04882517401507
"89","Celtis schippii",2353,0.0228800946946557,0.00598984613150687,0.0483711956654713
"90","Celtis schippii",2357,0.0230686396226453,0.00583112223114405,0.0479495986732912
"91","Celtis schippii",2362,0.0232077071541451,0.00563439914932147,0.0479543246528801
"92","Celtis schippii",2366,0.0226906421327045,0.00543524499550127,0.0476534030770339
"93","Celtis schippii",2370,0.0222716941245103,0.00522942892611378,0.0474408689799515
"94","Celtis schippii",2374,0.022227205148906,0.00500838725799306,0.0468421896143397
"95","Celtis schippii",2378,0.0219816612949931,0.00478474335307168,0.0466416368046491
"96","Celtis schippii",2382,0.0221619035196821,0.00473313340660991,0.0464529012591375
"97","Celtis schippii",2386,0.0217836531695275,0.00458466856795579,0.046084114369454
"98","Celtis schippii",2390,0.0217560222055954,0.00450054089603008,0.0463041741098673
"99","Celtis schippii",2394,0.0216013795677321,0.00449930167981346,0.0459303359849793
"100","Celtis schippii",2399,0.0215563180728077,0.00458305874236756,0.0456131797217742
