"","censussize","censusyear","simulation_nr","D_species_richness","D_simpson","N_runs","H_simpson"
"1",8364.8,2015,1,178,0.846168923062948,1,6.50063706184154
"2",8364.8,2015,2,180,0.84797335927176,1,6.57779449187188
"3",8364.8,2015,3,171,0.849739550711286,1,6.65511120679917
"4",8364.8,2015,4,171,0.847140927477206,1,6.54197348901802
"5",8364.8,2015,5,179,0.8511269031771,1,6.7171303703691
"6",8364.8,2015,6,177,0.842246413873359,1,6.33900011120648
"7",8364.8,2015,7,183,0.846959682639535,1,6.53422586444749
"8",8364.8,2015,8,180,0.84266519434345,1,6.35587272521839
"9",8364.8,2015,9,180,0.843758782668615,1,6.40035975832815
"10",8364.8,2015,10,178,0.837351201346915,1,6.14821633040715
"11",8364.8,2015,11,177,0.850457185927623,1,6.6870481621137
"12",8364.8,2015,12,177,0.857314762232808,1,7.00843349773589
"13",8364.8,2015,13,181,0.840801347354785,1,6.28146019695636
"14",8364.8,2015,14,177,0.847152510228415,1,6.54246923841798
"15",8364.8,2015,15,180,0.847592057452765,1,6.56133783637999
"16",8364.8,2015,16,173,0.847634652856232,1,6.56317213031666
"17",8364.8,2015,17,179,0.845048945014605,1,6.45365080021077
"18",8364.8,2015,18,175,0.849824542161706,1,6.65887765147872
"19",8364.8,2015,19,182,0.847633657128976,1,6.56312923941794
"20",8364.8,2015,20,171,0.844680141411461,1,6.43832674770276
"21",8364.8,2015,21,169,0.848962623829241,1,6.62087772810239
"22",8364.8,2015,22,176,0.840832679979789,1,6.28269672363032
"23",8364.8,2015,23,182,0.84443944136599,1,6.42836467534626
"24",8364.8,2015,24,178,0.846043088359297,1,6.49532384966092
"25",8364.8,2015,25,177,0.844793305500587,1,6.44302105154223
"26",8364.8,2015,26,178,0.843275665378841,1,6.38063005606147
"27",8364.8,2015,27,181,0.845132276704904,1,6.45712340004202
"28",8364.8,2015,28,183,0.838754089913431,1,6.20170768649649
"29",8364.8,2015,29,183,0.844861906273216,1,6.445870101776
"30",8364.8,2015,30,176,0.840748880048465,1,6.27939069002675
"31",8364.8,2015,31,176,0.846834564703474,1,6.52888817939908
"32",8364.8,2015,32,172,0.846823593022476,1,6.52842052984528
"33",8364.8,2015,33,172,0.840459957803874,1,6.26801890130302
"34",8364.8,2015,34,180,0.843570162537946,1,6.39264232594101
"35",8364.8,2015,35,184,0.846937472779873,1,6.53327772748618
"36",8364.8,2015,36,178,0.843832375676024,1,6.40337588747241
"37",8364.8,2015,37,177,0.842925173900814,1,6.36639253299915
"38",8364.8,2015,38,178,0.846688442107816,1,6.52266543859169
"39",8364.8,2015,39,181,0.84313332144781,1,6.37484014597335
"40",8364.8,2015,40,173,0.848675009170181,1,6.60829380868495
"41",8364.8,2015,41,174,0.843245313394834,1,6.37939459200224
"42",8364.8,2015,42,180,0.838218746353482,1,6.18118587574391
"43",8364.8,2015,43,178,0.846629306400728,1,6.52015047029001
"44",8364.8,2015,44,174,0.850962436611584,1,6.70971785410796
"45",8364.8,2015,45,172,0.854887630223574,1,6.89121128364654
"46",8364.8,2015,46,174,0.84941820909873,1,6.64090919635601
"47",8364.8,2015,47,169,0.843731313095148,1,6.3992346759071
"48",8364.8,2015,48,184,0.844388718089546,1,6.42626927638478
"49",8364.8,2015,49,178,0.845597302546469,1,6.47657078854441
"50",8364.8,2015,50,185,0.848540128186486,1,6.6024088626673
"51",8364.8,2015,51,171,0.847924592209794,1,6.57568514548743
"52",8364.8,2015,52,172,0.845195119246614,1,6.45974464844596
"53",8364.8,2015,53,167,0.851478846192519,1,6.73304761216868
"54",8364.8,2015,54,183,0.838160711138331,1,6.17896931600303
"55",8364.8,2015,55,177,0.845228040841252,1,6.46111870286729
"56",8364.8,2015,56,176,0.846960758943795,1,6.53427181877319
"57",8364.8,2015,57,169,0.848922784621361,1,6.61913179623902
"58",8364.8,2015,58,178,0.842219559141114,1,6.33792119325087
"59",8364.8,2015,59,173,0.84245389268876,1,6.34734819581706
"60",8364.8,2015,60,176,0.844487850149387,1,6.4303657364432
"61",8364.8,2015,61,182,0.851056323290089,1,6.71394732619395
"62",8364.8,2015,62,176,0.844394056103205,1,6.4264897275598
"63",8364.8,2015,63,173,0.854021982759127,1,6.85034650354193
"64",8364.8,2015,64,170,0.848277348376548,1,6.5909736568658
"65",8364.8,2015,65,177,0.848839369716008,1,6.6154791635974
"66",8364.8,2015,66,177,0.845632378445759,1,6.47804241544674
"67",8364.8,2015,67,174,0.848753606614861,1,6.61172790714793
"68",8364.8,2015,68,173,0.841643587771964,1,6.31486900928258
"69",8364.8,2015,69,180,0.848831002006656,1,6.61511297471213
