"","species_year","genus_species_subspecies","censusyear","N_present","N_born","N_died"
"523","Cupania latifolia_1990","Cupania latifolia",1990,2,0,0
"524","Cupania latifolia_1995","Cupania latifolia",1995,3,1,0
"525","Cupania latifolia_2000","Cupania latifolia",2000,3,0,0
"526","Cupania latifolia_2005","Cupania latifolia",2005,5,2,0
"527","Cupania latifolia_2010","Cupania latifolia",2010,4,0,1
"528","Cupania latifolia_2015","Cupania latifolia",2015,4,2,2
"529","Cupania rufescens_1982","Cupania rufescens",1982,3,3,0
"530","Cupania rufescens_1985","Cupania rufescens",1985,3,0,0
"531","Cupania rufescens_1990","Cupania rufescens",1990,5,2,0
"532","Cupania rufescens_1995","Cupania rufescens",1995,3,0,2
"533","Cupania rufescens_2000","Cupania rufescens",2000,1,0,2
"534","Cupania rufescens_2005","Cupania rufescens",2005,2,1,0
"535","Cupania rufescens_2010","Cupania rufescens",2010,1,0,1
"536","Cupania rufescens_2015","Cupania rufescens",2015,2,1,0
"537","Cupania sylvatica_1982","Cupania sylvatica",1982,161,161,0
"538","Cupania sylvatica_1985","Cupania sylvatica",1985,174,28,15
"539","Cupania sylvatica_1990","Cupania sylvatica",1990,195,29,8
"540","Cupania sylvatica_1995","Cupania sylvatica",1995,212,31,14
"541","Cupania sylvatica_2000","Cupania sylvatica",2000,225,32,19
"542","Cupania sylvatica_2005","Cupania sylvatica",2005,227,24,22
"543","Cupania sylvatica_2010","Cupania sylvatica",2010,220,17,24
"544","Cupania sylvatica_2015","Cupania sylvatica",2015,240,40,20
"545","Dendropanax arboreus_1982","Dendropanax arboreus",1982,38,38,0
"546","Dendropanax arboreus_1985","Dendropanax arboreus",1985,38,4,4
"547","Dendropanax arboreus_1990","Dendropanax arboreus",1990,36,3,5
"548","Dendropanax arboreus_1995","Dendropanax arboreus",1995,35,4,5
"549","Dendropanax arboreus_2000","Dendropanax arboreus",2000,29,1,7
"550","Dendropanax arboreus_2005","Dendropanax arboreus",2005,19,0,10
"551","Dendropanax arboreus_2010","Dendropanax arboreus",2010,19,3,3
"552","Dendropanax arboreus_2015","Dendropanax arboreus",2015,20,4,3
"553","Desmopsis panamensis_1982","Desmopsis panamensis",1982,3976,3976,0
"554","Desmopsis panamensis_1985","Desmopsis panamensis",1985,3865,546,657
"555","Desmopsis panamensis_1990","Desmopsis panamensis",1990,3580,622,907
"556","Desmopsis panamensis_1995","Desmopsis panamensis",1995,3384,454,650
"557","Desmopsis panamensis_2000","Desmopsis panamensis",2000,3289,500,595
"558","Desmopsis panamensis_2005","Desmopsis panamensis",2005,3416,616,489
"559","Desmopsis panamensis_2010","Desmopsis panamensis",2010,3398,546,564
"560","Desmopsis panamensis_2015","Desmopsis panamensis",2015,3430,632,600
"561","Diospyros artanthifolia_1982","Diospyros artanthifolia",1982,4,4,0
"562","Diospyros artanthifolia_1985","Diospyros artanthifolia",1985,4,0,0
"563","Diospyros artanthifolia_1990","Diospyros artanthifolia",1990,4,0,0
"564","Diospyros artanthifolia_1995","Diospyros artanthifolia",1995,4,0,0
"565","Diospyros artanthifolia_2000","Diospyros artanthifolia",2000,5,2,1
"566","Diospyros artanthifolia_2005","Diospyros artanthifolia",2005,6,2,1
"567","Diospyros artanthifolia_2010","Diospyros artanthifolia",2010,8,2,0
"568","Diospyros artanthifolia_2015","Diospyros artanthifolia",2015,8,0,0
"569","Dipteryx oleifera_1982","Dipteryx oleifera",1982,26,26,0
"570","Dipteryx oleifera_1985","Dipteryx oleifera",1985,26,0,0
"571","Dipteryx oleifera_1990","Dipteryx oleifera",1990,27,1,0
"572","Dipteryx oleifera_1995","Dipteryx oleifera",1995,28,2,1
"573","Dipteryx oleifera_2000","Dipteryx oleifera",2000,30,2,0
"574","Dipteryx oleifera_2005","Dipteryx oleifera",2005,31,1,0
"575","Dipteryx oleifera_2010","Dipteryx oleifera",2010,29,0,2
"576","Dipteryx oleifera_2015","Dipteryx oleifera",2015,28,0,1
"577","Drypetes standleyi_1982","Drypetes standleyi",1982,48,48,0
"578","Drypetes standleyi_1985","Drypetes standleyi",1985,53,5,0
"579","Drypetes standleyi_1990","Drypetes standleyi",1990,62,9,0
"580","Drypetes standleyi_1995","Drypetes standleyi",1995,76,16,2
"581","Drypetes standleyi_2000","Drypetes standleyi",2000,85,12,3
"582","Drypetes standleyi_2005","Drypetes standleyi",2005,92,11,4
"583","Drypetes standleyi_2010","Drypetes standleyi",2010,107,20,5
"584","Drypetes standleyi_2015","Drypetes standleyi",2015,119,18,6
"585","Erythrina costaricensis_1982","Erythrina costaricensis",1982,167,167,0
"586","Erythrina costaricensis_1985","Erythrina costaricensis",1985,156,19,30
"587","Erythrina costaricensis_1990","Erythrina costaricensis",1990,120,5,41
"588","Erythrina costaricensis_1995","Erythrina costaricensis",1995,93,2,29
"589","Erythrina costaricensis_2000","Erythrina costaricensis",2000,81,1,13
"590","Erythrina costaricensis_2005","Erythrina costaricensis",2005,57,1,25
"591","Erythrina costaricensis_2010","Erythrina costaricensis",2010,43,4,18
"592","Erythrina costaricensis_2015","Erythrina costaricensis",2015,41,3,5
"593","Erythroxylum macrophyllum_1982","Erythroxylum macrophyllum",1982,53,53,0
"594","Erythroxylum macrophyllum_1985","Erythroxylum macrophyllum",1985,61,13,5
"595","Erythroxylum macrophyllum_1990","Erythroxylum macrophyllum",1990,66,16,11
"596","Erythroxylum macrophyllum_1995","Erythroxylum macrophyllum",1995,62,5,9
"597","Erythroxylum macrophyllum_2000","Erythroxylum macrophyllum",2000,47,3,18
"598","Erythroxylum macrophyllum_2005","Erythroxylum macrophyllum",2005,43,4,8
"599","Erythroxylum macrophyllum_2010","Erythroxylum macrophyllum",2010,39,6,10
"600","Erythroxylum macrophyllum_2015","Erythroxylum macrophyllum",2015,34,6,11
"601","Erythroxylum panamense_1982","Erythroxylum panamense",1982,102,102,0
"602","Erythroxylum panamense_1985","Erythroxylum panamense",1985,107,12,7
"603","Erythroxylum panamense_1990","Erythroxylum panamense",1990,113,18,12
"604","Erythroxylum panamense_1995","Erythroxylum panamense",1995,115,16,14
"605","Erythroxylum panamense_2000","Erythroxylum panamense",2000,103,8,20
"606","Erythroxylum panamense_2005","Erythroxylum panamense",2005,111,19,11
"607","Erythroxylum panamense_2010","Erythroxylum panamense",2010,116,16,11
"608","Erythroxylum panamense_2015","Erythroxylum panamense",2015,118,13,11
"609","Eugenia coloradoensis_1982","Eugenia coloradoensis",1982,8,8,0
"610","Eugenia coloradoensis_1985","Eugenia coloradoensis",1985,8,2,2
"611","Eugenia coloradoensis_1990","Eugenia coloradoensis",1990,6,0,2
"612","Eugenia coloradoensis_1995","Eugenia coloradoensis",1995,7,2,1
"613","Eugenia coloradoensis_2000","Eugenia coloradoensis",2000,5,0,2
"614","Eugenia coloradoensis_2005","Eugenia coloradoensis",2005,2,1,4
"615","Eugenia coloradoensis_2010","Eugenia coloradoensis",2010,1,1,2
"616","Eugenia coloradoensis_2015","Eugenia coloradoensis",2015,5,4,0
"617","Eugenia galalonensis_1982","Eugenia galalonensis",1982,111,111,0
"618","Eugenia galalonensis_1985","Eugenia galalonensis",1985,126,23,8
"619","Eugenia galalonensis_1990","Eugenia galalonensis",1990,140,33,19
"620","Eugenia galalonensis_1995","Eugenia galalonensis",1995,148,28,20
"621","Eugenia galalonensis_2000","Eugenia galalonensis",2000,145,24,27
"622","Eugenia galalonensis_2005","Eugenia galalonensis",2005,146,24,23
"623","Eugenia galalonensis_2010","Eugenia galalonensis",2010,140,26,32
"624","Eugenia galalonensis_2015","Eugenia galalonensis",2015,162,38,16
"625","Eugenia nesiotica_1982","Eugenia nesiotica",1982,49,49,0
"626","Eugenia nesiotica_1985","Eugenia nesiotica",1985,49,3,3
"627","Eugenia nesiotica_1990","Eugenia nesiotica",1990,53,6,2
"628","Eugenia nesiotica_1995","Eugenia nesiotica",1995,54,4,3
"629","Eugenia nesiotica_2000","Eugenia nesiotica",2000,53,1,2
"630","Eugenia nesiotica_2005","Eugenia nesiotica",2005,50,2,5
"631","Eugenia nesiotica_2010","Eugenia nesiotica",2010,47,2,5
"632","Eugenia nesiotica_2015","Eugenia nesiotica",2015,47,3,3
"633","Eugenia oerstediana_1982","Eugenia oerstediana",1982,51,51,0
"634","Eugenia oerstediana_1985","Eugenia oerstediana",1985,41,2,12
"635","Eugenia oerstediana_1990","Eugenia oerstediana",1990,46,19,14
"636","Eugenia oerstediana_1995","Eugenia oerstediana",1995,43,12,15
"637","Eugenia oerstediana_2000","Eugenia oerstediana",2000,42,8,9
"638","Eugenia oerstediana_2005","Eugenia oerstediana",2005,39,10,13
"639","Eugenia oerstediana_2010","Eugenia oerstediana",2010,38,9,10
"640","Eugenia oerstediana_2015","Eugenia oerstediana",2015,45,14,7
"641","Faramea occidentalis_1982","Faramea occidentalis",1982,6468,6468,0
"642","Faramea occidentalis_1985","Faramea occidentalis",1985,7266,1125,327
"643","Faramea occidentalis_1990","Faramea occidentalis",1990,8158,1460,568
"644","Faramea occidentalis_1995","Faramea occidentalis",1995,8588,1035,605
"645","Faramea occidentalis_2000","Faramea occidentalis",2000,8821,997,764
"646","Faramea occidentalis_2005","Faramea occidentalis",2005,9121,1224,924
"647","Faramea occidentalis_2010","Faramea occidentalis",2010,9476,1288,933
"648","Faramea occidentalis_2015","Faramea occidentalis",2015,9660,1286,1102
"649","Ficus costaricana_1982","Ficus costaricana",1982,6,6,0
"650","Ficus costaricana_1985","Ficus costaricana",1985,6,1,1
"651","Ficus costaricana_1990","Ficus costaricana",1990,6,0,0
"652","Ficus costaricana_1995","Ficus costaricana",1995,6,0,0
"653","Ficus costaricana_2000","Ficus costaricana",2000,6,0,0
"654","Ficus costaricana_2005","Ficus costaricana",2005,5,0,1
"655","Ficus costaricana_2010","Ficus costaricana",2010,5,0,0
"656","Ficus costaricana_2015","Ficus costaricana",2015,2,0,3
"657","Ficus insipida_1982","Ficus insipida",1982,2,2,0
"658","Ficus insipida_1985","Ficus insipida",1985,2,0,0
"659","Ficus insipida_1990","Ficus insipida",1990,2,0,0
"660","Ficus insipida_1995","Ficus insipida",1995,2,0,0
"661","Ficus insipida_2000","Ficus insipida",2000,1,0,1
"662","Ficus insipida_2005","Ficus insipida",2005,0,0,1
"663","Ficus insipida_2010","Ficus insipida",2010,0,0,0
"664","Ficus insipida_2015","Ficus insipida",2015,0,0,0
"665","Ficus maxima_1982","Ficus maxima",1982,4,4,0
"666","Ficus maxima_1985","Ficus maxima",1985,4,0,0
"667","Ficus maxima_1990","Ficus maxima",1990,2,0,2
"668","Ficus maxima_1995","Ficus maxima",1995,2,0,0
"669","Ficus maxima_2000","Ficus maxima",2000,2,0,0
"670","Ficus maxima_2005","Ficus maxima",2005,2,0,0
"671","Ficus maxima_2010","Ficus maxima",2010,3,1,0
"672","Ficus maxima_2015","Ficus maxima",2015,3,0,0
"673","Ficus obtusifolia_1982","Ficus obtusifolia",1982,9,9,0
"674","Ficus obtusifolia_1985","Ficus obtusifolia",1985,7,0,2
"675","Ficus obtusifolia_1990","Ficus obtusifolia",1990,5,0,2
"676","Ficus obtusifolia_1995","Ficus obtusifolia",1995,8,3,0
"677","Ficus obtusifolia_2000","Ficus obtusifolia",2000,7,0,1
"678","Ficus obtusifolia_2005","Ficus obtusifolia",2005,7,0,0
"679","Ficus obtusifolia_2010","Ficus obtusifolia",2010,6,0,1
"680","Ficus obtusifolia_2015","Ficus obtusifolia",2015,6,0,0
"681","Ficus popenoei_1982","Ficus popenoei",1982,2,2,0
"682","Ficus popenoei_1985","Ficus popenoei",1985,3,1,0
"683","Ficus popenoei_1990","Ficus popenoei",1990,2,0,1
"684","Ficus popenoei_1995","Ficus popenoei",1995,2,0,0
"685","Ficus popenoei_2000","Ficus popenoei",2000,2,0,0
"686","Ficus popenoei_2005","Ficus popenoei",2005,2,0,0
"687","Ficus popenoei_2010","Ficus popenoei",2010,2,0,0
"688","Ficus popenoei_2015","Ficus popenoei",2015,2,0,0
"689","Ficus tonduzii_1982","Ficus tonduzii",1982,18,18,0
"690","Ficus tonduzii_1985","Ficus tonduzii",1985,16,1,3
"691","Ficus tonduzii_1990","Ficus tonduzii",1990,12,2,6
"692","Ficus tonduzii_1995","Ficus tonduzii",1995,8,1,5
"693","Ficus tonduzii_2000","Ficus tonduzii",2000,6,1,3
"694","Ficus tonduzii_2005","Ficus tonduzii",2005,4,1,3
"695","Ficus tonduzii_2010","Ficus tonduzii",2010,4,0,0
"696","Ficus tonduzii_2015","Ficus tonduzii",2015,3,1,2
"697","Ficus trigonata_1982","Ficus trigonata",1982,6,6,0
"698","Ficus trigonata_1985","Ficus trigonata",1985,5,0,1
"699","Ficus trigonata_1990","Ficus trigonata",1990,5,0,0
"700","Ficus trigonata_1995","Ficus trigonata",1995,5,0,0
"701","Ficus trigonata_2000","Ficus trigonata",2000,5,0,0
"702","Ficus trigonata_2005","Ficus trigonata",2005,4,0,1
"703","Ficus trigonata_2010","Ficus trigonata",2010,4,0,0
"704","Ficus trigonata_2015","Ficus trigonata",2015,4,0,0
"705","Ficus yoponensis_1982","Ficus yoponensis",1982,6,6,0
"706","Ficus yoponensis_1985","Ficus yoponensis",1985,6,0,0
"707","Ficus yoponensis_1990","Ficus yoponensis",1990,6,0,0
"708","Ficus yoponensis_1995","Ficus yoponensis",1995,6,0,0
"709","Ficus yoponensis_2000","Ficus yoponensis",2000,5,0,1
"710","Ficus yoponensis_2005","Ficus yoponensis",2005,5,0,0
"711","Ficus yoponensis_2010","Ficus yoponensis",2010,5,0,0
"712","Ficus yoponensis_2015","Ficus yoponensis",2015,4,0,1
"713","Garcinia intermedia_1982","Garcinia intermedia",1982,77,77,0
"714","Garcinia intermedia_1985","Garcinia intermedia",1985,77,15,15
"715","Garcinia intermedia_1990","Garcinia intermedia",1990,83,16,10
"716","Garcinia intermedia_1995","Garcinia intermedia",1995,95,18,6
"717","Garcinia intermedia_2000","Garcinia intermedia",2000,113,23,5
"718","Garcinia intermedia_2005","Garcinia intermedia",2005,128,29,14
"719","Garcinia intermedia_2010","Garcinia intermedia",2010,143,34,19
"720","Garcinia intermedia_2015","Garcinia intermedia",2015,165,41,19
"721","Garcinia madruno_1982","Garcinia madruno",1982,4,4,0
"722","Garcinia madruno_1985","Garcinia madruno",1985,2,0,2
"723","Garcinia madruno_1990","Garcinia madruno",1990,3,1,0
"724","Garcinia madruno_1995","Garcinia madruno",1995,3,0,0
"725","Garcinia madruno_2000","Garcinia madruno",2000,2,0,1
"726","Garcinia madruno_2005","Garcinia madruno",2005,1,0,1
"727","Garcinia madruno_2010","Garcinia madruno",2010,1,0,0
"728","Garcinia madruno_2015","Garcinia madruno",2015,1,0,0
"729","Genipa americana_1982","Genipa americana",1982,3,3,0
"730","Genipa americana_1985","Genipa americana",1985,4,1,0
"731","Genipa americana_1990","Genipa americana",1990,4,0,0
"732","Genipa americana_1995","Genipa americana",1995,6,2,0
"733","Genipa americana_2000","Genipa americana",2000,6,1,1
"734","Genipa americana_2005","Genipa americana",2005,5,1,2
"735","Genipa americana_2010","Genipa americana",2010,5,0,0
"736","Genipa americana_2015","Genipa americana",2015,4,0,1
"737","Guapira standleyana_1982","Guapira standleyana",1982,45,45,0
"738","Guapira standleyana_1985","Guapira standleyana",1985,46,4,3
"739","Guapira standleyana_1990","Guapira standleyana",1990,46,3,3
"740","Guapira standleyana_1995","Guapira standleyana",1995,47,2,1
"741","Guapira standleyana_2000","Guapira standleyana",2000,50,3,0
"742","Guapira standleyana_2005","Guapira standleyana",2005,53,4,1
"743","Guapira standleyana_2010","Guapira standleyana",2010,50,1,4
"744","Guapira standleyana_2015","Guapira standleyana",2015,51,3,2
"745","Guarea grandifolia_1982","Guarea grandifolia",1982,3,3,0
"746","Guarea grandifolia_1985","Guarea grandifolia",1985,4,1,0
"747","Guarea grandifolia_1990","Guarea grandifolia",1990,5,1,0
"748","Guarea grandifolia_1995","Guarea grandifolia",1995,5,1,1
"749","Guarea grandifolia_2000","Guarea grandifolia",2000,5,0,0
"750","Guarea grandifolia_2005","Guarea grandifolia",2005,6,1,0
"751","Guarea grandifolia_2010","Guarea grandifolia",2010,7,1,0
"752","Guarea grandifolia_2015","Guarea grandifolia",2015,7,0,0
"753","Guarea guidonia_1982","Guarea guidonia",1982,644,644,0
"754","Guarea guidonia_1985","Guarea guidonia",1985,665,56,35
"755","Guarea guidonia_1990","Guarea guidonia",1990,718,86,33
"756","Guarea guidonia_1995","Guarea guidonia",1995,739,54,33
"757","Guarea guidonia_2000","Guarea guidonia",2000,743,52,48
"758","Guarea guidonia_2005","Guarea guidonia",2005,743,59,59
"759","Guarea guidonia_2010","Guarea guidonia",2010,736,53,60
"760","Guarea guidonia_2015","Guarea guidonia",2015,720,59,75
"761","Guatteria dumetorum_1982","Guatteria dumetorum",1982,81,81,0
"762","Guatteria dumetorum_1985","Guatteria dumetorum",1985,79,14,16
"763","Guatteria dumetorum_1990","Guatteria dumetorum",1990,68,9,20
"764","Guatteria dumetorum_1995","Guatteria dumetorum",1995,69,5,4
"765","Guatteria dumetorum_2000","Guatteria dumetorum",2000,67,5,7
"766","Guatteria dumetorum_2005","Guatteria dumetorum",2005,62,7,12
"767","Guatteria dumetorum_2010","Guatteria dumetorum",2010,53,5,14
"768","Guatteria dumetorum_2015","Guatteria dumetorum",2015,44,5,14
"769","Guazuma ulmifolia_1982","Guazuma ulmifolia",1982,17,17,0
"770","Guazuma ulmifolia_1985","Guazuma ulmifolia",1985,18,1,0
"771","Guazuma ulmifolia_1990","Guazuma ulmifolia",1990,18,0,0
"772","Guazuma ulmifolia_1995","Guazuma ulmifolia",1995,20,2,0
"773","Guazuma ulmifolia_2000","Guazuma ulmifolia",2000,23,5,2
"774","Guazuma ulmifolia_2005","Guazuma ulmifolia",2005,26,4,1
"775","Guazuma ulmifolia_2010","Guazuma ulmifolia",2010,29,4,1
"776","Guazuma ulmifolia_2015","Guazuma ulmifolia",2015,29,2,2
"777","Guettarda foliacea_1982","Guettarda foliacea",1982,78,78,0
"778","Guettarda foliacea_1985","Guettarda foliacea",1985,88,13,3
"779","Guettarda foliacea_1990","Guettarda foliacea",1990,84,4,8
"780","Guettarda foliacea_1995","Guettarda foliacea",1995,86,5,3
"781","Guettarda foliacea_2000","Guettarda foliacea",2000,75,1,12
"782","Guettarda foliacea_2005","Guettarda foliacea",2005,65,2,12
"783","Guettarda foliacea_2010","Guettarda foliacea",2010,59,4,10
"784","Guettarda foliacea_2015","Guettarda foliacea",2015,58,7,8
"785","Gustavia superba_1982","Gustavia superba",1982,630,630,0
"786","Gustavia superba_1985","Gustavia superba",1985,640,24,14
"787","Gustavia superba_1990","Gustavia superba",1990,647,20,13
"788","Gustavia superba_1995","Gustavia superba",1995,647,12,12
"789","Gustavia superba_2000","Gustavia superba",2000,638,14,23
"790","Gustavia superba_2005","Gustavia superba",2005,619,13,32
"791","Gustavia superba_2010","Gustavia superba",2010,607,10,22
"792","Gustavia superba_2015","Gustavia superba",2015,579,2,30
"793","Hamelia axillaris_1982","Hamelia axillaris",1982,110,110,0
"794","Hamelia axillaris_1985","Hamelia axillaris",1985,94,25,41
"795","Hamelia axillaris_1990","Hamelia axillaris",1990,110,65,49
"796","Hamelia axillaris_1995","Hamelia axillaris",1995,120,51,41
"797","Hamelia axillaris_2000","Hamelia axillaris",2000,89,30,61
"798","Hamelia axillaris_2005","Hamelia axillaris",2005,99,54,44
"799","Hamelia axillaris_2010","Hamelia axillaris",2010,128,68,39
"800","Hamelia axillaris_2015","Hamelia axillaris",2015,103,41,66
"801","Hamelia patens_1982","Hamelia patens",1982,0,0,0
"802","Hamelia patens_1985","Hamelia patens",1985,2,2,0
"803","Hamelia patens_1990","Hamelia patens",1990,2,0,0
"804","Hamelia patens_1995","Hamelia patens",1995,1,0,1
"805","Hamelia patens_2000","Hamelia patens",2000,1,0,0
"806","Hamelia patens_2005","Hamelia patens",2005,1,0,0
"807","Hamelia patens_2010","Hamelia patens",2010,0,0,1
"808","Hamelia patens_2015","Hamelia patens",2015,0,0,0
"809","Hampea appendiculata_1982","Hampea appendiculata",1982,46,46,0
"810","Hampea appendiculata_1985","Hampea appendiculata",1985,37,4,13
"811","Hampea appendiculata_1990","Hampea appendiculata",1990,25,3,15
"812","Hampea appendiculata_1995","Hampea appendiculata",1995,14,3,14
"813","Hampea appendiculata_2000","Hampea appendiculata",2000,10,2,6
"814","Hampea appendiculata_2005","Hampea appendiculata",2005,11,6,5
"815","Hampea appendiculata_2010","Hampea appendiculata",2010,36,28,3
"816","Hampea appendiculata_2015","Hampea appendiculata",2015,42,19,13
"817","Hasseltia floribunda_1982","Hasseltia floribunda",1982,348,348,0
"818","Hasseltia floribunda_1985","Hasseltia floribunda",1985,338,29,39
"819","Hasseltia floribunda_1990","Hasseltia floribunda",1990,327,38,49
"820","Hasseltia floribunda_1995","Hasseltia floribunda",1995,291,19,55
"821","Hasseltia floribunda_2000","Hasseltia floribunda",2000,254,19,56
"822","Hasseltia floribunda_2005","Hasseltia floribunda",2005,232,16,38
"823","Hasseltia floribunda_2010","Hasseltia floribunda",2010,201,18,49
"824","Hasseltia floribunda_2015","Hasseltia floribunda",2015,180,14,35
"825","Heisteria acuminata_1982","Heisteria acuminata",1982,37,37,0
"826","Heisteria acuminata_1985","Heisteria acuminata",1985,44,8,1
"827","Heisteria acuminata_1990","Heisteria acuminata",1990,50,8,2
"828","Heisteria acuminata_1995","Heisteria acuminata",1995,48,2,4
"829","Heisteria acuminata_2000","Heisteria acuminata",2000,51,5,2
"830","Heisteria acuminata_2005","Heisteria acuminata",2005,49,3,5
"831","Heisteria acuminata_2010","Heisteria acuminata",2010,45,1,5
"832","Heisteria acuminata_2015","Heisteria acuminata",2015,47,6,4
"833","Heisteria concinna_1982","Heisteria concinna",1982,151,151,0
"834","Heisteria concinna_1985","Heisteria concinna",1985,164,20,7
"835","Heisteria concinna_1990","Heisteria concinna",1990,166,12,10
"836","Heisteria concinna_1995","Heisteria concinna",1995,177,17,6
"837","Heisteria concinna_2000","Heisteria concinna",2000,184,16,9
"838","Heisteria concinna_2005","Heisteria concinna",2005,185,17,16
"839","Heisteria concinna_2010","Heisteria concinna",2010,196,25,14
"840","Heisteria concinna_2015","Heisteria concinna",2015,207,26,15
"841","Herrania purpurea_1982","Herrania purpurea",1982,510,510,0
"842","Herrania purpurea_1985","Herrania purpurea",1985,547,73,36
"843","Herrania purpurea_1990","Herrania purpurea",1990,570,68,45
"844","Herrania purpurea_1995","Herrania purpurea",1995,560,34,44
"845","Herrania purpurea_2000","Herrania purpurea",2000,545,23,38
"846","Herrania purpurea_2005","Herrania purpurea",2005,550,34,29
"847","Herrania purpurea_2010","Herrania purpurea",2010,558,52,44
"848","Herrania purpurea_2015","Herrania purpurea",2015,536,54,76
"849","Hieronyma alchorneoides_1982","Hieronyma alchorneoides",1982,27,27,0
"850","Hieronyma alchorneoides_1985","Hieronyma alchorneoides",1985,29,4,2
"851","Hieronyma alchorneoides_1990","Hieronyma alchorneoides",1990,28,0,1
"852","Hieronyma alchorneoides_1995","Hieronyma alchorneoides",1995,29,1,0
"853","Hieronyma alchorneoides_2000","Hieronyma alchorneoides",2000,28,1,2
"854","Hieronyma alchorneoides_2005","Hieronyma alchorneoides",2005,27,0,1
"855","Hieronyma alchorneoides_2010","Hieronyma alchorneoides",2010,26,0,1
"856","Hieronyma alchorneoides_2015","Hieronyma alchorneoides",2015,24,0,2
"857","Hirtella americana_1982","Hirtella americana",1982,2,2,0
"858","Hirtella americana_1985","Hirtella americana",1985,1,0,1
"859","Hirtella americana_1990","Hirtella americana",1990,1,0,0
"860","Hirtella americana_1995","Hirtella americana",1995,1,0,0
"861","Hirtella americana_2000","Hirtella americana",2000,0,0,1
"862","Hirtella americana_2005","Hirtella americana",2005,0,0,0
"863","Hirtella americana_2010","Hirtella americana",2010,0,0,0
"864","Hirtella americana_2015","Hirtella americana",2015,0,0,0
"865","Hirtella triandra_1982","Hirtella triandra",1982,697,697,0
"866","Hirtella triandra_1985","Hirtella triandra",1985,735,78,40
"867","Hirtella triandra_1990","Hirtella triandra",1990,834,136,37
"868","Hirtella triandra_1995","Hirtella triandra",1995,900,91,25
"869","Hirtella triandra_2000","Hirtella triandra",2000,942,80,38
"870","Hirtella triandra_2005","Hirtella triandra",2005,993,100,49
"871","Hirtella triandra_2010","Hirtella triandra",2010,1027,96,62
"872","Hirtella triandra_2015","Hirtella triandra",2015,1067,139,99
"873","Hura crepitans_1982","Hura crepitans",1982,72,72,0
"874","Hura crepitans_1985","Hura crepitans",1985,74,5,3
"875","Hura crepitans_1990","Hura crepitans",1990,76,2,0
"876","Hura crepitans_1995","Hura crepitans",1995,77,1,0
"877","Hura crepitans_2000","Hura crepitans",2000,76,1,2
"878","Hura crepitans_2005","Hura crepitans",2005,74,1,3
"879","Hura crepitans_2010","Hura crepitans",2010,72,0,2
"880","Hura crepitans_2015","Hura crepitans",2015,71,2,3
"881","Hybanthus prunifolius_1982","Hybanthus prunifolius",1982,38697,38697,0
"882","Hybanthus prunifolius_1985","Hybanthus prunifolius",1985,41515,6921,4103
"883","Hybanthus prunifolius_1990","Hybanthus prunifolius",1990,41029,5618,6104
"884","Hybanthus prunifolius_1995","Hybanthus prunifolius",1995,36926,2554,6657
"885","Hybanthus prunifolius_2000","Hybanthus prunifolius",2000,32791,2403,6538
"886","Hybanthus prunifolius_2005","Hybanthus prunifolius",2005,30553,2636,4874
"887","Hybanthus prunifolius_2010","Hybanthus prunifolius",2010,28378,2617,4792
"888","Hybanthus prunifolius_2015","Hybanthus prunifolius",2015,26869,2929,4438
"889","Inga acuminata_1982","Inga acuminata",1982,34,34,0
"890","Inga acuminata_1985","Inga acuminata",1985,36,9,7
"891","Inga acuminata_1990","Inga acuminata",1990,46,16,6
"892","Inga acuminata_1995","Inga acuminata",1995,57,21,10
"893","Inga acuminata_2000","Inga acuminata",2000,70,22,9
"894","Inga acuminata_2005","Inga acuminata",2005,73,14,11
"895","Inga acuminata_2010","Inga acuminata",2010,89,25,9
"896","Inga acuminata_2015","Inga acuminata",2015,115,42,16
"897","Inga goldmanii_1982","Inga goldmanii",1982,8,8,0
"898","Inga goldmanii_1985","Inga goldmanii",1985,6,1,3
"899","Inga goldmanii_1990","Inga goldmanii",1990,7,2,1
"900","Inga goldmanii_1995","Inga goldmanii",1995,7,3,3
"901","Inga goldmanii_2000","Inga goldmanii",2000,6,0,1
"902","Inga goldmanii_2005","Inga goldmanii",2005,3,1,4
"903","Inga goldmanii_2010","Inga goldmanii",2010,3,0,0
"904","Inga goldmanii_2015","Inga goldmanii",2015,4,1,0
"905","Inga marginata_1982","Inga marginata",1982,23,23,0
"906","Inga marginata_1985","Inga marginata",1985,17,4,10
"907","Inga marginata_1990","Inga marginata",1990,17,7,7
"908","Inga marginata_1995","Inga marginata",1995,26,15,6
"909","Inga marginata_2000","Inga marginata",2000,34,16,8
"910","Inga marginata_2005","Inga marginata",2005,40,23,17
"911","Inga marginata_2010","Inga marginata",2010,43,13,10
"912","Inga marginata_2015","Inga marginata",2015,38,13,18
"913","Inga nobilis quaternata_1982","Inga nobilis quaternata",1982,66,66,0
"914","Inga nobilis quaternata_1985","Inga nobilis quaternata",1985,76,20,10
"915","Inga nobilis quaternata_1990","Inga nobilis quaternata",1990,107,40,9
"916","Inga nobilis quaternata_1995","Inga nobilis quaternata",1995,120,25,12
"917","Inga nobilis quaternata_2000","Inga nobilis quaternata",2000,122,13,11
"918","Inga nobilis quaternata_2005","Inga nobilis quaternata",2005,133,28,17
"919","Inga nobilis quaternata_2010","Inga nobilis quaternata",2010,145,34,22
"920","Inga nobilis quaternata_2015","Inga nobilis quaternata",2015,151,20,14
"921","Inga oerstediana_1982","Inga oerstediana",1982,1,1,0
